axis_id,label_public,description,pole_a,pole_b,default_question,sort_order
estado_vs_mercado,Estado vs. mercado,"Mide si las propuestas privilegian expansion estatal, coordinacion publica y regulacion, o mayor descentralizacion al mercado.",Estado coordinador,Mercado coordinador,"La propuesta desplaza la solucion hacia intervencion estatal o hacia coordinacion de mercado?",1
redistribucion_vs_libertad_economica,Redistribucion vs. libertad economica,"Ubica el peso relativo entre correccion distributiva y alivio regulatorio o tributario.",Redistribucion,Libertad economica,"El candidato prioriza correccion distributiva o expansion de libertad economica?",2
universalismo_vs_focalizacion,Universalismo vs. focalizacion,"Evalua si las medidas se conciben como derechos amplios o como respuestas focalizadas.",Universalismo,Focalizacion,"La politica propuesta busca cobertura amplia o focalizacion selectiva?",3
institucionalismo_vs_personalismo,Institucionalismo vs. personalismo,"Evalua si la solucion descansa en reglas, instituciones y capacidades, o en liderazgo personal y voluntad politica.",Institucionalismo,Personalismo,"La propuesta depende de arreglos institucionales o del impulso del lider?",4
gradualismo_vs_disrupcion,Gradualismo vs. cambio disruptivo,"Mide la disposicion a cambios incrementales frente a rupturas programaticas fuertes.",Gradualismo,Disrupcion,"La propuesta promete continuidad ajustada o ruptura acelerada?",5
tecnocracia_vs_populismo,Tecnocracia vs. populismo,"Ubica el tono entre solucion tecnica basada en capacidades y apelacion directa antiestablishment o maximalista.",Tecnocracia,Populismo,"La formulacion se apoya mas en capacidad tecnica o en movilizacion antagonica?",6
apertura_vs_soberanismo,Apertura vs. soberanismo,"Evalua la orientacion frente a integracion internacional, comercio y alianzas externas.",Apertura,Soberanismo,"La propuesta privilegia integracion externa o soberania defensiva?",7
conservadurismo_vs_progresismo_cultural,Conservadurismo cultural vs. progresismo cultural,"Ubica la orientacion normativa en asuntos de familia, genero, aborto y libertades civiles.",Conservadurismo cultural,Progresismo cultural,"La propuesta empuja una agenda cultural conservadora o progresista?",8
seguridad_negociacion_vs_punitivismo,Seguridad negociada vs. punitivismo,"Mide el balance entre salidas negociadas, restaurativas o territoriales y respuestas coercitivas o punitivas.",Seguridad negociada,Punitivismo,"La propuesta se apoya mas en negociacion y prevencion o en coercion y castigo?",9
centralizacion_vs_territorializacion,Centralizacion vs. territorializacion,"Evalua si la solucion se piensa desde el centro nacional o desde arreglos regionales y territoriales.",Centralizacion,Territorializacion,"La propuesta concentra la respuesta en el nivel nacional o en escalas territoriales?",10
