policy_key,base_weight,label_hint,public_reasoning
paz-total,-0.8,paz negociada,Favorece una lectura de izquierda o centroizquierda por priorizar negociación y justicia social.
transicion-energetica,-0.4,transicion energetica,Tiende hacia izquierda o centroizquierda cuando desplaza el eje hacia transición y regulación ambiental.
acceso-tierra,-0.7,reforma rural,Acerca a la izquierda por priorizar redistribución o acceso a tierra.
sistema-cuidado,-0.8,sistema de cuidado,Acerca a la centroizquierda o izquierda por ampliar el rol social del Estado en cuidados.
violencias-de-genero,-0.7,derechos de genero,Acerca a la centroizquierda o izquierda por expansión explícita de derechos y protección de género.
becas-y-sena,-0.4,expansion educativa publica,Apunta hacia centroizquierda cuando la expansión estatal de educación es eje programático.
regla-fiscal,0.4,disciplina fiscal,Acerca al centro o centroderecha cuando prioriza disciplina fiscal y señales proempresa.
modelo-mixto-salud,0.1,modelo mixto,Se ubica cerca del centro al defender arreglos mixtos público-privados.
fuerza-publica,0.5,fortalecimiento fuerza publica,Acerca a centroderecha o derecha cuando el énfasis principal es expansión de Fuerza Pública.
justicia-restaurativa,-0.2,justicia restaurativa,Desplaza ligeramente al centroizquierda por preferir enfoques restaurativos sobre castigo duro.
bonos-escolares,0.7,bonos escolares,Acerca a la derecha por introducir cuasimercados o elección privada con financiación pública.
formalizacion-empresarial,0.5,desregulacion proempresa,Acerca a centroderecha o derecha por simplificación regulatoria y alivio para empresas.
revolucion-energetica,0.3,matriz energetica procrecimiento,Desplaza ligeramente a centroderecha si prioriza oferta energética amplia con foco productivo.
ampliacion-pie-fuerza,0.6,expansion del pie de fuerza,Acerca a la derecha por crecimiento marcado del gasto en defensa y seguridad.
carceles-agricolas,0.6,endurecimiento penal,Acerca a la derecha por énfasis punitivo y expansión penitenciaria.
reconstruir-fuerza-publica,0.4,orden y seguridad,Desplaza al centro o centroderecha por priorizar orden público y control territorial.
dialogos-paz-condicionados,0.2,paz condicionada,Se mueve hacia el centro o centroderecha cuando subordina la paz a exigencias de seguridad.
protagonismo-mujeres,-0.4,agenda de genero,Acerca a centroizquierda por priorizar agenda explícita de género.
desarrollo-talento,-0.3,movilidad educativa,Acerca a centroizquierda cuando el eje es ampliar oportunidades por educación.
desarrollo-regiones-olvidadas,-0.4,correccion territorial,Acerca a centroizquierda por enfoque redistributivo territorial.
seguridad-focalizada,0.2,seguridad territorial focalizada,Se mueve al centro cuando combina seguridad con enfoque territorial y comunitario.
puertos-comercio-exterior,0.2,apertura comercial,Se mueve levemente al centro o centroderecha por su énfasis en comercio e infraestructura.
alianza-empresa-estado-comunidades,0.1,concertacion productiva,"Queda cerca del centro por equilibrar mercado, Estado y comunidades."
recorte-del-estado,0.9,recorte del Estado,Acerca claramente a la derecha por reducción fuerte del aparato estatal.
jep,-0.8,justicia transicional,El apoyo a la justicia transicional tiende a izquierda o centroizquierda; el rechazo la mueve a derecha.
baja-de-impuestos,0.8,baja de impuestos,Acerca a la derecha por alivio tributario como eje programático.
megacarceles,0.9,expansion carcelaria,Acerca claramente a la derecha por endurecimiento penal e infraestructura penitenciaria masiva.
alianza-seguridad-exterior,0.7,seguridad exterior dura,Acerca a la derecha por énfasis securitario e internacionalización militar.
activar-sectores-productivos,0.4,crecimiento por oferta,Acerca a centroderecha cuando prioriza expansión de sectores extractivos y de inversión.
reactivar-productividad,0.2,reactivacion productiva,Se ubica cerca del centro con leve sesgo procrecimiento.
paz-con-metodo,0.2,paz judicializada,Tiende al centro por combinar paz con sometimiento judicial.
productividad-tecnologica,0.1,crecimiento tecnologico,Se ubica cerca del centro al priorizar productividad y tecnología.
seguridad-tecnologica,0.5,seguridad tecnologica,Acerca a centroderecha por énfasis fuerte en control y seguridad.
pagar-por-estudiar,-0.5,transferencia educativa,Acerca a centroizquierda por expandir transferencias públicas para acceso educativo.
pena-de-muerte,1,pena de muerte,Acerca fuertemente a la derecha por maximalismo punitivo.
fortalecer-fuerza-publica,0.5,fortalecimiento militar y policial,Acerca a centroderecha o derecha por énfasis de orden y coerción.
