source_id,candidate_id,reading_role,editorial_reading
src-20260418-abelardo-infobae,abelardo-de-la-espriella,programmatic_interview,"Eje guía para Abelardo: recorte estatal hasta 40%, alivios tributarios, eliminación de la JEP, megacárceles, cooperación militar y emergencia sanitaria de 90 días."
src-20260420-abelardo-program-pdf,abelardo-de-la-espriella,official_program,"Programa oficial usado para precisar economía, seguridad, salud, educación, mujeres, campo, anticorrupción y política minero-energética."
src-20260424-abelardo-colpensiones-elpais,abelardo-de-la-espriella,public_position,"Reacción jurídica contra traslado a Colpensiones; muestra defensa de ahorro individual y cautela frente a intervención estatal en pensiones."
src-20260418-ivan-economia,ivan-cepeda,programmatic_interview,"Fuente para continuidad macroeconómica con el gobierno Petro y transición energética concertada."
src-20260420-ivan-program-pdf,ivan-cepeda,official_program,"Folleto programático usado para educación, paz, derechos humanos, memoria, trabajo y continuidad del cambio."
src-20260418-ivan-program-home,ivan-cepeda,official_program,"Página oficial que sostiene profundización de justicia social y paz total."
src-20260418-paloma-elpais,paloma-valencia,programmatic_article,"Lectura externa del programa de Paloma como derecha clásica: fracking/minería, fuerza pública, impuestos y salud de choque."
src-20260420-paloma-program-pdf,paloma-valencia,official_program,"Programa principal para seguridad total, salud, energía, productividad, anticorrupción, derechos de mujeres y justicia."
src-20260424-paloma-seguridad-elpais,paloma-valencia,public_position,"Fuente para decreto de reactivación de órdenes de captura contra gestores de paz y endurecimiento carcelario."
src-20260418-claudia-program,claudia-lopez,official_program,"Programa base para ordenar la casa, sistema de cuidado, seguridad legítima, productividad regional, salud y descentralización."
src-20260418-claudia-forbes,claudia-lopez,programmatic_interview,"Fuente para regla fiscal, modelo mixto de salud y continuidad selectiva de reformas."
src-20260424-claudia-debates-elpais,claudia-lopez,public_position,"Señal institucional sobre debates incluyentes y deliberación electoral."
src-20260420-fajardo-program-pdf,sergio-fajardo,official_program,"Programa base de Fajardo: crisis, esperanza y dignidad; seguridad, salud, finanzas públicas, energía, educación, ambiente, derechos e instituciones."
src-20260418-fajardo-official,sergio-fajardo,official_program,"Página de campaña usada para seguridad, salud, paz condicionada, anticorrupción y mujeres."
src-20260423-fajardo-espectador,sergio-fajardo,programmatic_interview,"Entrevista de seguridad que diagnostica expansión criminal y rechazo a polarización sin propuestas."
src-20260420-murillo-program-home,luis-gilberto-murillo,official_program,"Sitio oficial usado para ambiente, educación, seguridad con sometimiento, economía verde, Estado y biografía."
src-20260418-murillo-espectador,luis-gilberto-murillo,programmatic_interview,"Fuente para oportunidades, educación, desarrollo regional, puertos y seguridad."
src-20260421-murillo-tiempo,luis-gilberto-murillo,programmatic_interview,"Fuente para trayectoria internacional y relaciones con Estados Unidos y Venezuela."
