axis_id,match_field,pattern,pole,rule_weight,rationale_fragment
estado_vs_mercado,combined_text,"estado|public|regul|subsid|empresa-estado|universal|sistema publico",pole_a,1.0,"prioriza coordinacion estatal, regulacion o expansion publica"
estado_vs_mercado,combined_text,"mercado|empresa privada|desregul|competenc|privad|baja de impuestos|bonos escolares",pole_b,1.0,"prioriza mercado, alivio regulatorio o instrumentos de competencia"
redistribucion_vs_libertad_economica,combined_text,"redistrib|subsid|renta|acceso a tierra|igualdad|proteccion social|reforma agraria",pole_a,1.0,"acentua correccion distributiva o proteccion social"
redistribucion_vs_libertad_economica,combined_text,"libertad economica|baja de impuestos|emprend|carga regulatoria|productividad empresarial",pole_b,1.0,"acentua libertad economica o alivio regulatorio"
universalismo_vs_focalizacion,combined_text,"universal|para todos|cobertura amplia|garantia general",pole_a,0.9,"formula la politica como cobertura amplia o derecho general"
universalismo_vs_focalizacion,combined_text,"focaliz|selectiv|vulnerables|bonos|subsidios focalizados|priorizar hogares",pole_b,0.9,"formula la politica como respuesta focalizada o selectiva"
institucionalismo_vs_personalismo,combined_text,"instituci|regla|agencia|sistema|auditoria|capacidad|procedimiento",pole_a,0.9,"apoya la solucion en reglas, instituciones o capacidades"
institucionalismo_vs_personalismo,combined_text,"liderazgo|voluntad politica|mano firme|yo voy|yo hare",pole_b,0.9,"descansa mas en impulso personal o voluntad del lider"
gradualismo_vs_disrupcion,combined_text,"gradual|transicion|ordenar|mejorar|continuidad|ajuste",pole_a,0.9,"propone continuidad ajustada o cambio incremental"
gradualismo_vs_disrupcion,combined_text,"revolucion|ruptura|refundar|cambiar de raiz|eliminar por completo",pole_b,0.9,"propone ruptura o reordenamiento abrupto"
tecnocracia_vs_populismo,combined_text,"evidencia|tecnico|auditoria|indicador|gestion|capacidad institucional",pole_a,0.9,"usa lenguaje de capacidad tecnica o gestion"
tecnocracia_vs_populismo,combined_text,"casta|elite|pueblo|antiestablishment|traicion|mano dura",pole_b,0.9,"usa lenguaje antagonico o antiestablishment"
apertura_vs_soberanismo,combined_text,"comercio|integracion|alianza|cooperacion internacional|inversion extranjera",pole_a,0.8,"privilegia integracion, alianzas o apertura externa"
apertura_vs_soberanismo,combined_text,"soberania|nacional|primero colombia|cerrar fronteras|autosuficiencia",pole_b,0.8,"privilegia soberania defensiva o repliegue nacional"
conservadurismo_vs_progresismo_cultural,combined_text,"familia tradicional|antiaborto|valores|ideologia de genero",pole_a,0.8,"se acerca a referencias culturales conservadoras"
conservadurismo_vs_progresismo_cultural,combined_text,"derechos sexuales|interrupcion voluntaria|diversidad|lgbti|enfoque de genero",pole_b,0.8,"se acerca a referencias culturales progresistas"
seguridad_negociacion_vs_punitivismo,combined_text,"dialog|negoci|restaurat|sometimiento|paz",pole_a,1.0,"favorece salidas negociadas o restaurativas"
seguridad_negociacion_vs_punitivismo,combined_text,"carcel|pie de fuerza|mano dura|punitiv|castigo|militar",pole_b,1.0,"favorece coercion, expansion de fuerza o castigo"
centralizacion_vs_territorializacion,combined_text,"gobierno nacional|control central|nivel nacional|direccion nacional",pole_a,0.8,"concentra la solucion en el centro nacional"
centralizacion_vs_territorializacion,combined_text,"territori|regional|municip|departament|autonomia local|descentral",pole_b,0.8,"desplaza la solucion hacia escalas regionales o locales"
