claim_id,candidate_id,event_date,source_id,claim_type,claim_type_id,policy_key,topic_id,subtopic_id,summary_text,position_text,position_key,stance_value,implementation_detail,mechanism_text,target_population,problem_diagnosed,specificity_score,ambiguity_flag,insufficient_evidence_flag,possible_contradiction_flag,evidence_excerpt,inbox_batch,batch_date
src-20260423-paloma-elpais-claim-1,paloma-valencia,2026-04-23,src-20260423-paloma-elpais,biography,dato_contextual,paz-presento-su-propuesta,paz,NA,Presento su propuesta de seguridad total y prometio reactivar las ordenes de captura contra gestores de paz senalados de seguir delinquiendo.,Presento su propuesta de seguridad total y prometio reactivar las ordenes de captura contra gestores de paz senalados de seguir delinquiendo.,NA,NA,FALSE,NA,de seguridad total y prometio reactivar las ordenes de captura contra gestores d,NA,0,FALSE,FALSE,FALSE,Presento su propuesta de seguridad total y prometio reactivar las ordenes de captura contra gestores de paz senalados de seguir delinquiendo.,2026-04-23,2026-04-23
src-manual-02293f16-claim-1,paloma-valencia,2026-04-23,src-manual-02293f16,biography,dato_contextual,general-fuente-incorporada-desde,trayectoria-publica,NA,La fuente aporta información pública trazable sobre la candidatura.,La fuente aporta información pública trazable sobre la candidatura.,NA,NA,FALSE,NA,desde data/added_manually/ (validated_by_http),NA,0,FALSE,FALSE,FALSE,Fuente incorporada desde data/added_manually/ (validated_by_http).,2026-04-23,2026-04-23
src-manual-02293f16-claim-2,paloma-valencia,2026-04-23,src-manual-02293f16,biography,dato_contextual,general-paloma-valencia-gana,trayectoria-publica,NA,Paloma Valencia gana las consultas presidenciales | Elecciones Presidenciales Colombia | EL PAÍS América Colombia,Paloma Valencia gana las consultas presidenciales | Elecciones Presidenciales Colombia | EL PAÍS América Colombia,NA,NA,FALSE,NA,Valencia gana las consultas presidenciales | Elecciones Presidenciales Colombia,NA,0,FALSE,FALSE,FALSE,Paloma Valencia gana las consultas presidenciales | Elecciones Presidenciales Colombia | EL PAÍS América Colombia,2026-04-23,2026-04-23
src-manual-51298b3e-claim-1,miguel-uribe,2026-04-23,src-manual-51298b3e,biography,dato_contextual,general-fuente-incorporada-desde,trayectoria-publica,NA,La fuente aporta información pública trazable sobre la candidatura.,La fuente aporta información pública trazable sobre la candidatura.,NA,NA,FALSE,NA,desde data/added_manually/ (validated_by_http),NA,0,FALSE,FALSE,FALSE,Fuente incorporada desde data/added_manually/ (validated_by_http).,2026-04-23,2026-04-23
src-manual-51298b3e-claim-2,miguel-uribe,2026-04-23,src-manual-51298b3e,policy_proposal,propuesta_concreta,general-uribe-es-el,vida-publica,NA,"“Uribe es el dueño del Centro Democrático y quería a Paloma, no a mí”: entrevista con Miguel Uribe Londoño","“Uribe es el dueño del Centro Democrático y quería a Paloma, no a mí”: entrevista con Miguel Uribe Londoño",a_favor,1,TRUE,Miguel Uribe Londoño,"a Paloma, no a mí”",NA,3,FALSE,FALSE,FALSE,"“Uribe es el dueño del Centro Democrático y quería a Paloma, no a mí”: entrevista con Miguel Uribe Londoño",2026-04-23,2026-04-23
src-manual-531f21e5-claim-1,sergio-fajardo,2026-04-23,src-manual-531f21e5,biography,dato_contextual,general-fuente-incorporada-desde,trayectoria-publica,NA,La fuente aporta información pública trazable sobre la candidatura.,La fuente aporta información pública trazable sobre la candidatura.,NA,NA,FALSE,NA,desde data/added_manually/ (validated_by_http),NA,0,FALSE,FALSE,FALSE,Fuente incorporada desde data/added_manually/ (validated_by_http).,2026-04-23,2026-04-23
src-manual-531f21e5-claim-2,sergio-fajardo,2026-04-23,src-manual-531f21e5,biography,dato_contextual,general-cambio-seguro,trayectoria-publica,NA,La fuente aporta información pública trazable sobre la candidatura.,La fuente aporta información pública trazable sobre la candidatura.,NA,NA,FALSE,NA,NA,NA,0,FALSE,FALSE,FALSE,Cambio Seguro,2026-04-23,2026-04-23
src-manual-5871e08c-claim-1,clara-lopez,2026-04-23,src-manual-5871e08c,biography,dato_contextual,general-fuente-incorporada-desde,trayectoria-publica,NA,La fuente aporta información pública trazable sobre la candidatura.,La fuente aporta información pública trazable sobre la candidatura.,NA,NA,FALSE,NA,desde data/added_manually/ (validated_by_http),NA,0,FALSE,FALSE,FALSE,Fuente incorporada desde data/added_manually/ (validated_by_http).,2026-04-23,2026-04-23
src-manual-5871e08c-claim-2,clara-lopez,2026-04-23,src-manual-5871e08c,policy_proposal,propuesta_concreta,general-clara-l-opez,trayectoria-publica,NA,Clara López renuncia a su candidatura presidencial 2026 y anuncia alianza con Iván Cepeda - Infobae,Clara López renuncia a su candidatura presidencial 2026 y anuncia alianza con Iván Cepeda - Infobae,a_favor,1,TRUE,Iván Cepeda - Infobae,López renuncia a su candidatura presidencial 2026 y anuncia alianza con Iván Cep,NA,3,FALSE,FALSE,FALSE,Clara López renuncia a su candidatura presidencial 2026 y anuncia alianza con Iván Cepeda - Infobae,2026-04-23,2026-04-23
src-manual-6e4b7e85-claim-1,paloma-valencia,2026-04-23,src-manual-6e4b7e85,biography,dato_contextual,general-fuente-incorporada-desde,trayectoria-publica,NA,La fuente aporta información pública trazable sobre la candidatura.,La fuente aporta información pública trazable sobre la candidatura.,NA,NA,FALSE,NA,desde data/added_manually/ (validated_by_http),NA,0,FALSE,FALSE,FALSE,Fuente incorporada desde data/added_manually/ (validated_by_http).,2026-04-23,2026-04-23
src-manual-6e4b7e85-claim-2,paloma-valencia,2026-04-23,src-manual-6e4b7e85,biography,dato_contextual,general-paloma-valencia-gana,trayectoria-publica,NA,Paloma Valencia gana la 'Gran Consulta': estas son las propuestas presidenciales de la candidata del Centro Democrático,Paloma Valencia gana la 'Gran Consulta': estas son las propuestas presidenciales de la candidata del Centro Democrático,NA,NA,FALSE,NA,Valencia gana la 'Gran Consulta',NA,0,FALSE,FALSE,FALSE,Paloma Valencia gana la 'Gran Consulta': estas son las propuestas presidenciales de la candidata del Centro Democrático,2026-04-23,2026-04-23
src-manual-78dafdfc-claim-1,mauricio-lizcano,2026-04-23,src-manual-78dafdfc,biography,dato_contextual,general-fuente-incorporada-desde,trayectoria-publica,NA,La fuente aporta información pública trazable sobre la candidatura.,La fuente aporta información pública trazable sobre la candidatura.,NA,NA,FALSE,NA,desde data/added_manually/ (validated_by_http),NA,0,FALSE,FALSE,FALSE,Fuente incorporada desde data/added_manually/ (validated_by_http).,2026-04-23,2026-04-23
src-manual-78dafdfc-claim-2,mauricio-lizcano,2026-04-23,src-manual-78dafdfc,biography,dato_contextual,general-mauricio-lizcano-candidato,trayectoria-publica,NA,Mauricio Lizcano – Candidato Presidencial 2026 | Propuestas,Mauricio Lizcano – Candidato Presidencial 2026 | Propuestas,NA,NA,FALSE,NA,NA,NA,1,FALSE,FALSE,FALSE,Mauricio Lizcano – Candidato Presidencial 2026 | Propuestas,2026-04-23,2026-04-23
